id,producto,variante,seccion,linea
1,Bálsamo para labios At Play,Estándar,At Play,
2,Base de Maquillaje At Play,Estándar,At Play,
3,Crayón Iluminador/Contorno,Estándar,At Play,
4,Delineador Líquido,Estándar,At Play,
5,Dúo de Bronceadores,Estándar,At Play,
6,Dúo de Rubor en Polvo,Estándar,At Play,
7,Dúo de Sombras AT PLAY,Estándar,At Play,
8,Dúos de Lápiz para Cejas,Estándar,At Play,
9,Labial Liquido con brillo At Play,Estándar,At Play,
10,Labial Liquido Mate At Play / Mágico,Estándar,At Play,
11,Labial Mate Efecto Polvo,Estándar,At Play,
12,Lápiz Delineador At Play,Estándar,At Play,
13,Máscara de Pestañas a Prueba de Agua,Estándar,At Play,
14,Sombra de Ojos + Primer At Play,Estándar,At Play,
15,Brocha Oval para Maquillaje,Estándar,Brochas y aplicadores,
16,Brocha para Base de Maquillaje,Estándar,Brochas y aplicadores,
17,Brocha para Polvos,Estándar,Brochas y aplicadores,
18,Brocha para Rubor,Estándar,Brochas y aplicadores,
19,Brocha para Rubor Compacto,Estándar,Brochas y aplicadores,
20,Esponja Cosmética x 2,Estándar,Brochas y aplicadores,
21,Esponja para Maquillaje,Estándar,Brochas y aplicadores,
22,Set de Brochas,Estándar,Brochas y aplicadores,
23,Concentrado C + Resveratrol,Estándar,Clinical Solutions,
24,Concentrado HA + Ceramida,Estándar,Clinical Solutions,
25,Concentrado Iluminador de Ácido Ferúlico + Niacinamida,Estándar,Clinical Solutions,
26,Concentrado PHA+AHA Exfoliante,Estándar,Clinical Solutions,
27,Crema Facial con Efecto Tensor,Estándar,Clinical Solutions,
28,Loción Facial Restauradora de la Barrera de la Piel Clinical Solutions,Estándar,Clinical Solutions,
29,¡Nueva! Máscara para Pestañas Lash Love Fanorama Define+Lift,Estándar,Color,
30,Base de Maquillaje TimeWise 3D,Luminosa (N/S),Color,
31,Base de Maquillaje TimeWise 3D,Mate (C/G),Color,
32,Brillo Labial Unlimited,Estándar,Color,
33,Compacto Perfect Palette,Estándar,Color,
34,Compacto Petite Palette,Estándar,Color,
35,Corrector para Ojos Multi-Beneficios,Light 3,Color,
36,Corrector para Ojos Multi-Beneficios,Medium 1,Color,
37,Corrector para Ojos Multi-Beneficios,Medium 2,Color,
38,Corrector para Rostro Multi-Beneficios,Light 2,Color,
39,Corrector Yellow,Estándar,Color,
40,Crema Correctora con Color,Estándar,Color,
41,Delineador en Gel,Estándar,Color,
42,Delineador en Plumón,Estándar,Color,
43,Delineador para Labios a prueba agua,Estándar,Color,
44,Delineador para Ojos a prueba de agua,Estándar,Color,
45,Delineador retráctil de labios,Estándar,Color,
46,Delineador retráctil de ojos,Estándar,Color,
47,Gel Transparente para Cejas,Estándar,Color,
48,Gel Voluminizador para Cejas,Estándar,Color,
49,Great Heights,Estándar,Color,
50,Great Heights a prueba de agua,Estándar,Color,
51,Iluminador Chromafusion,Estándar,Color,
